geometry,lon,lat,extent,ocr_repair_enabled,unreadable_values,source_crs,accuracy_m,confidence,page,origin
"POLYGON ((38.0 -3.9166667, 40.0 -3.9166667, 40.0 4.05, 38.0 4.05, 38.0 -3.9166667))",38.8,-0.73,-3.9166667/4.05 38.0/40.0,True,,WGS 84,,0.396,20,bbox:page 20
"POLYGON ((39.0 -4.6666667, 39.8333333 -4.6666667, 39.8333333 -3.75, 39.0 -3.75, 39.0 -4.6666667))",39.3333333,-4.3,-4.6666667/-3.75 39.0/39.8333333,True,,WGS 84,,0.393,21,bbox:page 21
"POLYGON ((39.0 -4.0, 40.0 -4.0, 40.0 -2.5, 39.0 -2.5, 39.0 -4.0))",39.4,-3.4,-4.0/-2.5 39.0/40.0,True,,WGS 84,,0.393,21,bbox:page 21
"POLYGON ((38.0 -4.0, 38.5 -4.0, 38.5 -2.5, 38.0 -2.5, 38.0 -4.0))",38.2,-3.4,-4.0/-2.5 38.0/38.5,True,,WGS 84,,0.399,22,bbox:page 22
"POLYGON ((29.0 -4.5, 35.0 -4.5, 35.0 -2.0, 29.0 -2.0, 29.0 -4.5))",31.4,-3.5,-4.5/-2.0 29.0/35.0,True,2,WGS 84,,0.38,23,bbox:page 23
"POLYGON ((36.0 -8.0, 40.0 -8.0, 40.0 -3.0, 36.0 -3.0, 36.0 -8.0))",37.6,-6.0,-8.0/-3.0 36.0/40.0,True,,WGS 84,,0.376,24,bbox:page 24
"POLYGON ((38.25 -3.5, 38.5 -3.5, 38.5 -3.25, 38.25 -3.25, 38.25 -3.5))",38.35,-3.4,-3.5/-3.25 38.25/38.5,True,,WGS 84,,0.376,24,bbox:page 24
"POLYGON ((39.5 -6.0, 39.6666667 -6.0, 39.6666667 -3.5, 39.5 -3.5, 39.5 -6.0))",39.5666667,-5.0,-6.0/-3.5 39.5/39.6666667,True,,WGS 84,,0.366,25,bbox:page 25
"POLYGON ((39.5 -4.0, 39.6666667 -4.0, 39.6666667 -3.5, 39.5 -3.5, 39.5 -4.0))",39.5666667,-3.8,-4.0/-3.5 39.5/39.6666667,True,,WGS 84,,0.366,25,bbox:page 25
"POLYGON ((37.0 -3.5, 39.0 -3.5, 39.0 -2.0, 37.0 -2.0, 37.0 -3.5))",37.8,-2.9,-3.5/-2.0 37.0/39.0,True,,WGS 84,,0.369,26,bbox:page 26
"POLYGON ((39.0 -5.0, 40.0 -5.0, 40.0 -3.0, 39.0 -3.0, 39.0 -5.0))",39.4,-4.2,-5.0/-3.0 39.0/40.0,True,,WGS 84,,0.369,26,bbox:page 26
"POLYGON ((34.0 -4.5, 42.0 -4.5, 42.0 4.5, 34.0 4.5, 34.0 -4.5))",37.2,-0.9,-4.5/4.5 34.0/42.0,True,,WGS 84,,0.359,28,bbox:page 28
"POLYGON ((39.5 -4.0833333, 39.6666667 -4.0833333, 39.6666667 4.5, 39.5 4.5, 39.5 -4.0833333))",39.5666667,-0.65,-4.0833333/4.5 39.5/39.6666667,True,2,WGS 84,,0.352,29,bbox:page 29
"POLYGON ((36.0 -4.0, 38.0 -4.0, 38.0 -0.5, 36.0 -0.5, 36.0 -4.0))",36.8,-2.6,-4.0/-0.5 36.0/38.0,True,,WGS 84,,0.381,30,bbox:page 30
"POLYGON ((38.5 -48.5, 39.6666667 -48.5, 39.6666667 -4.0, 38.5 -4.0, 38.5 -48.5))",38.9666667,-30.7,-48.5/-4.0 38.5/39.6666667,True,,WGS 84,,0.364,31,bbox:page 31
